order_id,order_date,warehouse,customer_city,carrier,product_category,distance_km,weight_kg,shipping_cost_eur,sla_days,promised_delivery,actual_delivery,actual_days,status,delay_days,delay_reason,month,week,day_of_week
AMZ-01014,2024-01-01,Berlin-WAR,Bonn,Hermes,Cables & Accessories,478.1,17.3,44.96,3,2024-01-04,2024-01-04,3,On-Time,0,None,January,1,Monday
AMZ-01015,2024-01-01,Munich-WAR,Bielefeld,DPD,Storage Devices,483.1,45.7,66.06,3,2024-01-04,2024-01-04,3,On-Time,0,None,January,1,Monday
AMZ-01016,2024-01-01,Hamburg-WAR,Hannover,DPD,Storage Devices,132.5,47.7,37.36,2,2024-01-03,2024-01-06,5,Late,3,Wrong Routing,January,1,Monday
AMZ-01017,2024-01-01,Frankfurt-WAR,Berlin,DHL,Hardware,423.4,44.0,59.58,3,2024-01-04,2024-01-04,3,On-Time,0,None,January,1,Monday
AMZ-01018,2024-01-02,Cologne-WAR,Munich,DHL,Cables & Accessories,456.0,24.6,44.58,3,2024-01-05,2024-01-05,3,On-Time,0,None,January,1,Tuesday
AMZ-01019,2024-01-02,Hamburg-WAR,Wuppertal,FedEx,Spare Parts,317.1,13.6,34.57,2,2024-01-04,2024-01-04,2,On-Time,0,None,January,1,Tuesday
AMZ-01020,2024-01-02,Cologne-WAR,Dusseldorf,Hermes,Networking Equipment,34.6,49.8,28.5,1,2024-01-03,2024-01-03,1,On-Time,0,None,January,1,Tuesday
AMZ-01021,2024-01-02,Berlin-WAR,Leipzig,DPD,Electronics,149.0,17.2,20.88,2,2024-01-04,2024-01-04,2,On-Time,0,None,January,1,Tuesday
AMZ-01022,2024-01-02,Berlin-WAR,Munich,DHL,Spare Parts,503.8,3.8,38.25,3,2024-01-05,2024-01-05,3,On-Time,0,None,January,1,Tuesday
AMZ-01023,2024-01-02,Munich-WAR,Wuppertal,DPD,Storage Devices,469.7,7.0,44.66,3,2024-01-05,2024-01-04,2,On-Time,0,None,January,1,Tuesday
AMZ-01024,2024-01-02,Hamburg-WAR,Wuppertal,UPS,Spare Parts,317.1,5.2,28.86,2,2024-01-04,2024-01-03,1,On-Time,0,None,January,1,Tuesday
AMZ-01025,2024-01-02,Frankfurt-WAR,Hamburg,DHL,Electronics,393.1,20.4,40.31,2,2024-01-04,2024-01-04,2,On-Time,0,None,January,1,Tuesday
AMZ-01026,2024-01-02,Hamburg-WAR,Dusseldorf,FedEx,Networking Equipment,338.0,7.4,28.79,2,2024-01-04,2024-01-04,2,On-Time,0,None,January,1,Tuesday
AMZ-01027,2024-01-02,Frankfurt-WAR,Bonn,DHL,Electronics,131.5,32.8,27.14,2,2024-01-04,2024-01-04,2,On-Time,0,None,January,1,Tuesday
AMZ-01028,2024-01-02,Hamburg-WAR,Stuttgart,UPS,Networking Equipment,533.5,24.3,58.83,3,2024-01-05,2024-01-06,4,Late,1,Warehouse Delay,January,1,Tuesday
AMZ-01029,2024-01-03,Frankfurt-WAR,Dortmund,UPS,Hardware,177.4,21.4,27.17,2,2024-01-05,2024-01-08,5,Late,3,Address Issue,January,1,Wednesday
AMZ-01030,2024-01-03,Frankfurt-WAR,Cologne,DPD,Hardware,152.6,11.3,16.28,2,2024-01-05,2024-01-05,2,On-Time,0,None,January,1,Wednesday
AMZ-01031,2024-01-03,Munich-WAR,Hamburg,DHL,Storage Devices,611.7,24.1,66.1,3,2024-01-06,2024-01-06,3,On-Time,0,None,January,1,Wednesday
AMZ-01032,2024-01-03,Cologne-WAR,Munich,DPD,Electronics,456.0,30.0,53.28,3,2024-01-06,2024-01-06,3,On-Time,0,None,January,1,Wednesday
AMZ-01033,2024-01-03,Cologne-WAR,Leipzig,FedEx,Storage Devices,380.0,2.5,29.0,2,2024-01-05,2024-01-05,2,On-Time,0,None,January,1,Wednesday
AMZ-01034,2024-01-03,Munich-WAR,Dusseldorf,Hermes,Spare Parts,486.9,13.6,42.38,3,2024-01-06,2024-01-05,2,On-Time,0,None,January,1,Wednesday
AMZ-01035,2024-01-03,Munich-WAR,Munich,DHL,Networking Equipment,0.0,31.2,15.8,1,2024-01-04,2024-01-04,1,On-Time,0,None,January,1,Wednesday
AMZ-01036,2024-01-03,Cologne-WAR,Dortmund,DPD,Hardware,72.7,44.1,29.98,1,2024-01-04,2024-01-04,1,On-Time,0,None,January,1,Wednesday
AMZ-01037,2024-01-04,Cologne-WAR,Bremen,FedEx,Cables & Accessories,269.2,26.7,36.06,2,2024-01-06,2024-01-06,2,On-Time,0,None,January,1,Thursday
AMZ-01038,2024-01-04,Hamburg-WAR,Dortmund,DHL,Electronics,284.1,37.2,38.48,2,2024-01-06,2024-01-06,2,On-Time,0,None,January,1,Thursday
AMZ-01039,2024-01-04,Munich-WAR,Dusseldorf,Hermes,Storage Devices,486.9,24.7,55.46,3,2024-01-07,2024-01-08,4,Late,1,Address Issue,January,1,Thursday
AMZ-01040,2024-01-04,Frankfurt-WAR,Dortmund,DHL,Electronics,177.4,17.0,21.01,2,2024-01-06,2024-01-07,3,Late,1,Address Issue,January,1,Thursday
AMZ-01041,2024-01-04,Frankfurt-WAR,Bonn,UPS,Storage Devices,131.5,1.0,10.08,2,2024-01-06,2024-01-06,2,On-Time,0,None,January,1,Thursday
AMZ-01042,2024-01-04,Cologne-WAR,Hamburg,Hermes,Storage Devices,356.4,27.8,41.82,2,2024-01-06,2024-01-06,2,On-Time,0,None,January,1,Thursday
AMZ-01043,2024-01-04,Berlin-WAR,Hannover,DPD,Cables & Accessories,249.3,12.9,24.29,2,2024-01-06,2024-01-05,1,On-Time,0,None,January,1,Thursday
AMZ-01044,2024-01-04,Cologne-WAR,Cologne,DPD,Spare Parts,0.0,48.8,25.92,1,2024-01-05,2024-01-06,2,Late,1,Weather Conditions,January,1,Thursday
AMZ-01045,2024-01-04,Munich-WAR,Duisburg,DPD,Hardware,503.4,8.4,46.26,3,2024-01-07,2024-01-07,3,On-Time,0,None,January,1,Thursday
AMZ-01046,2024-01-04,Frankfurt-WAR,Leipzig,DPD,Networking Equipment,293.5,17.8,34.46,2,2024-01-06,2024-01-06,2,On-Time,0,None,January,1,Thursday
AMZ-01047,2024-01-04,Berlin-WAR,Dusseldorf,UPS,Hardware,476.4,14.3,41.36,3,2024-01-07,2024-01-07,3,On-Time,0,None,January,1,Thursday
AMZ-01048,2024-01-04,Cologne-WAR,Nuremberg,FedEx,Hardware,336.8,47.0,46.56,2,2024-01-06,2024-01-07,3,Late,1,Traffic Congestion,January,1,Thursday
AMZ-01049,2024-01-04,Munich-WAR,Hamburg,DHL,Storage Devices,611.7,22.0,62.67,3,2024-01-07,2024-01-07,3,On-Time,0,None,January,1,Thursday
AMZ-01050,2024-01-04,Frankfurt-WAR,Mannheim,DPD,Hardware,70.6,2.7,6.91,1,2024-01-05,2024-01-05,1,On-Time,0,None,January,1,Thursday
AMZ-01051,2024-01-04,Munich-WAR,Duisburg,DHL,Cables & Accessories,503.4,46.1,64.88,3,2024-01-07,2024-01-07,3,On-Time,0,None,January,1,Thursday
AMZ-01052,2024-01-05,Cologne-WAR,Bremen,UPS,Hardware,269.2,20.4,30.44,2,2024-01-07,2024-01-06,1,On-Time,0,None,January,1,Friday
AMZ-01053,2024-01-05,Frankfurt-WAR,Stuttgart,FedEx,Storage Devices,152.2,15.4,20.07,2,2024-01-07,2024-01-07,2,On-Time,0,None,January,1,Friday
AMZ-01054,2024-01-05,Hamburg-WAR,Duisburg,FedEx,Storage Devices,321.9,32.9,41.91,2,2024-01-07,2024-01-07,2,On-Time,0,None,January,1,Friday
AMZ-01055,2024-01-05,Cologne-WAR,Wuppertal,DPD,Cables & Accessories,40.1,4.7,5.57,1,2024-01-06,2024-01-06,1,On-Time,0,None,January,1,Friday
AMZ-01056,2024-01-05,Berlin-WAR,Leipzig,Hermes,Spare Parts,149.0,40.4,29.85,2,2024-01-07,2024-01-06,1,On-Time,0,None,January,1,Friday
AMZ-01057,2024-01-05,Cologne-WAR,Munich,UPS,Networking Equipment,456.0,44.4,59.57,3,2024-01-08,2024-01-07,2,On-Time,0,None,January,1,Friday
AMZ-01058,2024-01-05,Frankfurt-WAR,Nuremberg,DPD,Spare Parts,187.3,33.0,28.37,2,2024-01-07,2024-01-07,2,On-Time,0,None,January,1,Friday
AMZ-01059,2024-01-05,Frankfurt-WAR,Leipzig,DPD,Cables & Accessories,293.5,26.1,33.24,2,2024-01-07,2024-01-07,2,On-Time,0,None,January,1,Friday
AMZ-01060,2024-01-05,Frankfurt-WAR,Cologne,UPS,Cables & Accessories,152.6,26.8,25.91,2,2024-01-07,2024-01-06,1,On-Time,0,None,January,1,Friday
AMZ-01061,2024-01-05,Cologne-WAR,Bielefeld,UPS,Storage Devices,162.0,22.6,22.61,2,2024-01-07,2024-01-06,1,On-Time,0,None,January,1,Friday
AMZ-01062,2024-01-05,Munich-WAR,Leipzig,Hermes,Storage Devices,360.3,24.5,38.93,2,2024-01-07,2024-01-07,2,On-Time,0,None,January,1,Friday
AMZ-01063,2024-01-05,Hamburg-WAR,Dortmund,Hermes,Hardware,284.1,44.7,41.3,2,2024-01-07,2024-01-06,1,On-Time,0,None,January,1,Friday
AMZ-01064,2024-01-06,Hamburg-WAR,Munich,UPS,Networking Equipment,611.7,16.9,56.99,3,2024-01-09,2024-01-08,2,On-Time,0,None,January,1,Saturday
AMZ-01065,2024-01-06,Frankfurt-WAR,Mannheim,DHL,Storage Devices,70.6,19.3,13.78,1,2024-01-07,2024-01-07,1,On-Time,0,None,January,1,Saturday
AMZ-01066,2024-01-06,Frankfurt-WAR,Bonn,FedEx,Storage Devices,131.5,44.9,32.89,2,2024-01-08,2024-01-07,1,On-Time,0,None,January,1,Saturday
AMZ-01067,2024-01-06,Berlin-WAR,Nuremberg,Hermes,Cables & Accessories,378.0,34.1,46.38,2,2024-01-08,2024-01-07,1,On-Time,0,None,January,1,Saturday
AMZ-01068,2024-01-07,Cologne-WAR,Bonn,DHL,Networking Equipment,25.3,29.8,17.48,1,2024-01-08,2024-01-08,1,On-Time,0,None,January,1,Sunday
AMZ-01069,2024-01-07,Hamburg-WAR,Bochum,DPD,Electronics,297.2,13.4,29.43,2,2024-01-09,2024-01-09,2,On-Time,0,None,January,1,Sunday
AMZ-01070,2024-01-07,Frankfurt-WAR,Dortmund,UPS,Hardware,177.4,41.8,34.88,2,2024-01-09,2024-01-09,2,On-Time,0,None,January,1,Sunday
AMZ-01071,2024-01-07,Munich-WAR,Leipzig,DHL,Cables & Accessories,360.3,2.5,27.25,2,2024-01-09,2024-01-09,2,On-Time,0,None,January,1,Sunday
AMZ-01072,2024-01-08,Hamburg-WAR,Leipzig,DPD,Networking Equipment,293.5,33.6,40.8,2,2024-01-10,2024-01-10,2,On-Time,0,None,January,2,Monday
AMZ-01073,2024-01-08,Munich-WAR,Stuttgart,FedEx,Storage Devices,190.7,48.2,41.08,2,2024-01-10,2024-01-10,2,On-Time,0,None,January,2,Monday
AMZ-01074,2024-01-08,Munich-WAR,Frankfurt,FedEx,Electronics,304.1,46.5,48.3,2,2024-01-10,2024-01-12,4,Late,2,Warehouse Delay,January,2,Monday
AMZ-01075,2024-01-08,Hamburg-WAR,Munich,FedEx,Cables & Accessories,611.7,41.6,66.15,3,2024-01-11,2024-01-11,3,On-Time,0,None,January,2,Monday
AMZ-01076,2024-01-08,Cologne-WAR,Frankfurt,FedEx,Electronics,152.6,17.7,20.76,2,2024-01-10,2024-01-10,2,On-Time,0,None,January,2,Monday
AMZ-01077,2024-01-08,Berlin-WAR,Duisburg,UPS,Electronics,470.5,22.0,47.3,3,2024-01-11,2024-01-10,2,On-Time,0,None,January,2,Monday
AMZ-01078,2024-01-08,Hamburg-WAR,Duisburg,DPD,Cables & Accessories,321.9,26.3,40.08,2,2024-01-10,2024-01-09,1,On-Time,0,None,January,2,Monday
AMZ-01079,2024-01-08,Frankfurt-WAR,Duisburg,FedEx,Hardware,199.4,16.5,22.97,2,2024-01-10,2024-01-12,4,Late,2,Warehouse Delay,January,2,Monday
AMZ-01080,2024-01-08,Hamburg-WAR,Bochum,FedEx,Storage Devices,297.2,33.6,39.25,2,2024-01-10,2024-01-10,2,On-Time,0,None,January,2,Monday
AMZ-01081,2024-01-08,Hamburg-WAR,Wuppertal,DPD,Hardware,317.1,40.0,43.92,2,2024-01-10,2024-01-12,4,Late,2,Traffic Congestion,January,2,Monday
AMZ-01082,2024-01-08,Berlin-WAR,Bielefeld,DPD,Electronics,335.9,12.4,32.46,2,2024-01-10,2024-01-10,2,On-Time,0,None,January,2,Monday
AMZ-01083,2024-01-08,Frankfurt-WAR,Wuppertal,UPS,Electronics,166.3,5.1,14.97,2,2024-01-10,2024-01-10,2,On-Time,0,None,January,2,Monday
AMZ-01084,2024-01-08,Cologne-WAR,Hannover,UPS,Storage Devices,248.6,26.8,32.79,2,2024-01-10,2024-01-10,2,On-Time,0,None,January,2,Monday
AMZ-01085,2024-01-08,Munich-WAR,Bochum,Hermes,Hardware,485.4,12.9,41.85,3,2024-01-11,2024-01-11,3,On-Time,0,None,January,2,Monday
AMZ-01086,2024-01-08,Cologne-WAR,Stuttgart,DPD,Spare Parts,288.1,37.1,39.74,2,2024-01-10,2024-01-10,2,On-Time,0,None,January,2,Monday
AMZ-01087,2024-01-08,Berlin-WAR,Dusseldorf,Hermes,Spare Parts,476.4,18.4,45.44,3,2024-01-11,2024-01-11,3,On-Time,0,None,January,2,Monday
AMZ-01088,2024-01-08,Munich-WAR,Hamburg,DHL,Storage Devices,611.7,15.0,61.45,3,2024-01-11,2024-01-10,2,On-Time,0,None,January,2,Monday
AMZ-01089,2024-01-09,Berlin-WAR,Mannheim,Hermes,Networking Equipment,482.0,24.2,49.04,3,2024-01-12,2024-01-14,5,Late,2,Warehouse Delay,January,2,Tuesday
AMZ-01090,2024-01-09,Berlin-WAR,Munich,UPS,Networking Equipment,503.8,4.2,43.5,3,2024-01-12,2024-01-12,3,On-Time,0,None,January,2,Tuesday
AMZ-01091,2024-01-09,Cologne-WAR,Bremen,DHL,Spare Parts,269.2,6.4,26.04,2,2024-01-11,2024-01-11,2,On-Time,0,None,January,2,Tuesday
AMZ-01092,2024-01-09,Cologne-WAR,Nuremberg,UPS,Networking Equipment,336.8,15.2,35.15,2,2024-01-11,2024-01-11,2,On-Time,0,None,January,2,Tuesday
AMZ-01093,2024-01-09,Cologne-WAR,Frankfurt,DPD,Cables & Accessories,152.6,10.9,18.23,2,2024-01-11,2024-01-11,2,On-Time,0,None,January,2,Tuesday
AMZ-01094,2024-01-09,Cologne-WAR,Munich,DPD,Electronics,456.0,20.7,48.6,3,2024-01-12,2024-01-12,3,On-Time,0,None,January,2,Tuesday
AMZ-01095,2024-01-09,Hamburg-WAR,Bremen,Hermes,Cables & Accessories,95.3,43.1,26.67,1,2024-01-10,2024-01-10,1,On-Time,0,None,January,2,Tuesday
AMZ-01096,2024-01-09,Cologne-WAR,Dusseldorf,UPS,Electronics,34.6,27.5,17.01,1,2024-01-10,2024-01-11,2,Late,1,Carrier Delay,January,2,Tuesday
AMZ-01097,2024-01-09,Berlin-WAR,Stuttgart,Hermes,Storage Devices,511.1,37.6,60.52,3,2024-01-12,2024-01-12,3,On-Time,0,None,January,2,Tuesday
AMZ-01098,2024-01-10,Munich-WAR,Nuremberg,Hermes,Storage Devices,150.2,27.2,25.3,2,2024-01-12,2024-01-11,1,On-Time,0,None,January,2,Wednesday
AMZ-01099,2024-01-10,Munich-WAR,Augsburg,Hermes,Electronics,56.5,5.0,7.67,1,2024-01-11,2024-01-14,4,Late,3,Traffic Congestion,January,2,Wednesday
AMZ-01100,2024-01-10,Berlin-WAR,Dortmund,FedEx,Electronics,420.9,38.3,49.39,3,2024-01-13,2024-01-12,2,On-Time,0,None,January,2,Wednesday
AMZ-01101,2024-01-10,Munich-WAR,Stuttgart,FedEx,Networking Equipment,190.7,31.9,31.16,2,2024-01-12,2024-01-12,2,On-Time,0,None,January,2,Wednesday
AMZ-01102,2024-01-10,Frankfurt-WAR,Dresden,Hermes,Cables & Accessories,372.2,5.7,30.41,2,2024-01-12,2024-01-11,1,On-Time,0,None,January,2,Wednesday
AMZ-01103,2024-01-10,Munich-WAR,Nuremberg,FedEx,Electronics,150.2,23.0,22.64,2,2024-01-12,2024-01-11,1,On-Time,0,None,January,2,Wednesday
AMZ-01104,2024-01-10,Cologne-WAR,Berlin,FedEx,Networking Equipment,476.8,21.0,45.61,3,2024-01-13,2024-01-12,2,On-Time,0,None,January,2,Wednesday
AMZ-01105,2024-01-10,Frankfurt-WAR,Hamburg,DPD,Hardware,393.1,27.7,49.17,2,2024-01-12,2024-01-11,1,On-Time,0,None,January,2,Wednesday
AMZ-01106,2024-01-10,Berlin-WAR,Berlin,FedEx,Spare Parts,0.0,35.6,17.13,1,2024-01-11,2024-01-11,1,On-Time,0,None,January,2,Wednesday
AMZ-01107,2024-01-10,Berlin-WAR,Leipzig,DHL,Networking Equipment,149.0,47.4,36.67,2,2024-01-12,2024-01-12,2,On-Time,0,None,January,2,Wednesday
AMZ-01108,2024-01-10,Cologne-WAR,Dortmund,UPS,Networking Equipment,72.7,49.0,28.76,1,2024-01-11,2024-01-11,1,On-Time,0,None,January,2,Wednesday
AMZ-01109,2024-01-10,Hamburg-WAR,Augsburg,FedEx,Cables & Accessories,579.4,44.0,73.33,3,2024-01-13,2024-01-12,2,On-Time,0,None,January,2,Wednesday
AMZ-01110,2024-01-10,Munich-WAR,Bielefeld,Hermes,Electronics,483.1,14.5,44.05,3,2024-01-13,2024-01-12,2,On-Time,0,None,January,2,Wednesday
AMZ-01111,2024-01-10,Hamburg-WAR,Bochum,FedEx,Networking Equipment,297.2,17.6,32.92,2,2024-01-12,2024-01-11,1,On-Time,0,None,January,2,Wednesday
AMZ-01112,2024-01-10,Munich-WAR,Dusseldorf,DPD,Storage Devices,486.9,19.5,52.17,3,2024-01-13,2024-01-13,3,On-Time,0,None,January,2,Wednesday
AMZ-01113,2024-01-11,Frankfurt-WAR,Nuremberg,DPD,Networking Equipment,187.3,48.3,36.21,2,2024-01-13,2024-01-15,4,Late,2,Carrier Delay,January,2,Thursday
AMZ-01114,2024-01-11,Frankfurt-WAR,Frankfurt,FedEx,Networking Equipment,0.0,1.3,0.6,1,2024-01-12,2024-01-12,1,On-Time,0,None,January,2,Thursday
AMZ-01115,2024-01-11,Berlin-WAR,Wuppertal,Hermes,Hardware,448.0,31.4,50.49,3,2024-01-14,2024-01-14,3,On-Time,0,None,January,2,Thursday
AMZ-01116,2024-01-11,Cologne-WAR,Nuremberg,Hermes,Cables & Accessories,336.8,36.1,47.33,2,2024-01-13,2024-01-14,3,Late,1,Traffic Congestion,January,2,Thursday
AMZ-01117,2024-01-11,Berlin-WAR,Leipzig,Hermes,Spare Parts,149.0,37.5,30.27,2,2024-01-13,2024-01-13,2,On-Time,0,None,January,2,Thursday
AMZ-01118,2024-01-11,Frankfurt-WAR,Stuttgart,Hermes,Electronics,152.2,2.8,14.38,2,2024-01-13,2024-01-13,2,On-Time,0,None,January,2,Thursday
AMZ-01119,2024-01-11,Frankfurt-WAR,Cologne,DPD,Storage Devices,152.6,20.9,23.49,2,2024-01-13,2024-01-13,2,On-Time,0,None,January,2,Thursday
AMZ-01120,2024-01-11,Berlin-WAR,Augsburg,UPS,Storage Devices,494.2,34.3,56.66,3,2024-01-14,2024-01-14,3,On-Time,0,None,January,2,Thursday
AMZ-01121,2024-01-11,Frankfurt-WAR,Dortmund,UPS,Hardware,177.4,33.5,33.41,2,2024-01-13,2024-01-13,2,On-Time,0,None,January,2,Thursday
AMZ-01122,2024-01-11,Cologne-WAR,Stuttgart,DHL,Networking Equipment,288.1,47.3,51.25,2,2024-01-13,2024-01-12,1,On-Time,0,None,January,2,Thursday
AMZ-01123,2024-01-11,Munich-WAR,Bochum,Hermes,Spare Parts,485.4,50.0,68.35,3,2024-01-14,2024-01-13,2,On-Time,0,None,January,2,Thursday
AMZ-01124,2024-01-11,Cologne-WAR,Hannover,FedEx,Hardware,248.6,49.6,42.85,2,2024-01-13,2024-01-15,4,Late,2,Wrong Routing,January,2,Thursday
AMZ-01125,2024-01-11,Berlin-WAR,Mannheim,DHL,Storage Devices,482.0,37.4,61.07,3,2024-01-14,2024-01-14,3,On-Time,0,None,January,2,Thursday
AMZ-01126,2024-01-11,Cologne-WAR,Hannover,DPD,Cables & Accessories,248.6,9.9,23.6,2,2024-01-13,2024-01-13,2,On-Time,0,None,January,2,Thursday
AMZ-01127,2024-01-11,Berlin-WAR,Hamburg,Hermes,Networking Equipment,254.5,2.2,20.88,2,2024-01-13,2024-01-13,2,On-Time,0,None,January,2,Thursday
AMZ-01128,2024-01-12,Frankfurt-WAR,Stuttgart,DPD,Spare Parts,152.2,39.4,34.28,2,2024-01-14,2024-01-14,2,On-Time,0,None,January,2,Friday
AMZ-01129,2024-01-12,Hamburg-WAR,Dortmund,UPS,Hardware,284.1,37.5,40.14,2,2024-01-14,2024-01-14,2,On-Time,0,None,January,2,Friday
AMZ-01130,2024-01-12,Hamburg-WAR,Leipzig,UPS,Storage Devices,293.5,18.6,34.69,2,2024-01-14,2024-01-14,2,On-Time,0,None,January,2,Friday
AMZ-01131,2024-01-12,Frankfurt-WAR,Hannover,Hermes,Storage Devices,261.7,19.4,31.49,2,2024-01-14,2024-01-14,2,On-Time,0,None,January,2,Friday
AMZ-01132,2024-01-12,Frankfurt-WAR,Berlin,FedEx,Storage Devices,423.4,16.7,43.15,3,2024-01-15,2024-01-14,2,On-Time,0,None,January,2,Friday
AMZ-01133,2024-01-12,Munich-WAR,Duisburg,DHL,Spare Parts,503.4,2.7,37.77,3,2024-01-15,2024-01-16,4,Late,1,Carrier Delay,January,2,Friday
AMZ-01134,2024-01-12,Hamburg-WAR,Bonn,DPD,Networking Equipment,370.7,23.0,42.56,2,2024-01-14,2024-01-13,1,On-Time,0,None,January,2,Friday
AMZ-01135,2024-01-12,Cologne-WAR,Cologne,UPS,Cables & Accessories,0.0,5.4,2.69,1,2024-01-13,2024-01-13,1,On-Time,0,None,January,2,Friday
AMZ-01136,2024-01-12,Berlin-WAR,Hannover,DPD,Networking Equipment,249.3,22.5,29.55,2,2024-01-14,2024-01-14,2,On-Time,0,None,January,2,Friday
AMZ-01137,2024-01-12,Cologne-WAR,Hannover,DHL,Networking Equipment,248.6,14.2,29.51,2,2024-01-14,2024-01-16,4,Late,2,Carrier Delay,January,2,Friday
AMZ-01138,2024-01-12,Hamburg-WAR,Augsburg,DHL,Electronics,579.4,39.4,62.67,3,2024-01-15,2024-01-15,3,On-Time,0,None,January,2,Friday
AMZ-01139,2024-01-12,Berlin-WAR,Bonn,DPD,Storage Devices,478.1,11.2,47.09,3,2024-01-15,2024-01-15,3,On-Time,0,None,January,2,Friday
AMZ-01140,2024-01-12,Cologne-WAR,Berlin,Hermes,Spare Parts,476.8,49.4,63.35,3,2024-01-15,2024-01-15,3,On-Time,0,None,January,2,Friday
AMZ-01141,2024-01-13,Hamburg-WAR,Berlin,Hermes,Spare Parts,254.5,29.6,31.76,2,2024-01-15,2024-01-15,2,On-Time,0,None,January,2,Saturday
AMZ-01142,2024-01-13,Frankfurt-WAR,Bielefeld,DHL,Cables & Accessories,212.6,3.6,18.62,2,2024-01-15,2024-01-15,2,On-Time,0,None,January,2,Saturday
AMZ-01143,2024-01-13,Frankfurt-WAR,Bielefeld,DPD,Storage Devices,212.6,2.6,19.35,2,2024-01-15,2024-01-18,5,Late,3,Wrong Routing,January,2,Saturday
AMZ-01144,2024-01-14,Berlin-WAR,Hamburg,UPS,Networking Equipment,254.5,21.6,28.72,2,2024-01-16,2024-01-15,1,On-Time,0,None,January,2,Sunday
AMZ-01145,2024-01-14,Berlin-WAR,Munich,Hermes,Storage Devices,503.8,7.8,40.9,3,2024-01-17,2024-01-17,3,On-Time,0,None,January,2,Sunday
AMZ-01146,2024-01-14,Frankfurt-WAR,Augsburg,FedEx,Hardware,251.8,23.0,32.31,2,2024-01-16,2024-01-16,2,On-Time,0,None,January,2,Sunday
AMZ-01147,2024-01-14,Cologne-WAR,Dusseldorf,UPS,Networking Equipment,34.6,44.5,24.59,1,2024-01-15,2024-01-15,1,On-Time,0,None,January,2,Sunday
AMZ-01148,2024-01-14,Frankfurt-WAR,Frankfurt,Hermes,Networking Equipment,0.0,16.0,7.61,1,2024-01-15,2024-01-17,3,Late,2,Carrier Delay,January,2,Sunday
AMZ-01149,2024-01-14,Berlin-WAR,Munich,DHL,Networking Equipment,503.8,5.3,45.01,3,2024-01-17,2024-01-17,3,On-Time,0,None,January,2,Sunday
AMZ-01150,2024-01-15,Cologne-WAR,Bonn,Hermes,Cables & Accessories,25.3,6.6,5.17,1,2024-01-16,2024-01-16,1,On-Time,0,None,January,3,Monday
AMZ-01151,2024-01-15,Berlin-WAR,Bremen,FedEx,Hardware,315.4,17.9,34.71,2,2024-01-17,2024-01-16,1,On-Time,0,None,January,3,Monday
AMZ-01152,2024-01-15,Hamburg-WAR,Frankfurt,Hermes,Storage Devices,393.1,18.7,42.94,2,2024-01-17,2024-01-16,1,On-Time,0,None,January,3,Monday
